,age,tissue,cell_ontology_class,ncells
428,21m,Limb_Muscle,endothelial cell,755
429,21m,Limb_Muscle,macrophage,273
430,21m,Limb_Muscle,mesenchymal stem cell,2007
431,21m,Limb_Muscle,skeletal muscle cell,25
432,21m,Limb_Muscle,skeletal muscle satellite cell,234
433,21m,Limb_Muscle,smooth muscle cell,88
434,21m,Liver,B cell,39
435,21m,Liver,Kupffer cell,25
436,21m,Liver,NK cell,32
437,21m,Liver,endothelial cell of hepatic sinusoid,14
438,21m,Liver,hepatic stellate cell,2
439,21m,Liver,hepatocyte,250
440,21m,Liver,myeloid leukocyte,4
441,21m,Liver,plasmacytoid dendritic cell,1
442,21m,Lung,B cell,414
443,21m,Lung,"CD4-positive, alpha-beta T cell",107
444,21m,Lung,"CD8-positive, alpha-beta T cell",335
445,21m,Lung,NK cell,227
446,21m,Lung,T cell,83
447,21m,Lung,adventitial cell,43
448,21m,Lung,alveolar macrophage,91
449,21m,Lung,basophil,46
450,21m,Lung,bronchial smooth muscle cell,670
451,21m,Lung,ciliated columnar cell of tracheobronchial tree,4
452,21m,Lung,classical monocyte,242
453,21m,Lung,club cell of bronchiole,5
454,21m,Lung,dendritic cell,9
455,21m,Lung,endothelial cell of lymphatic vessel,12
456,21m,Lung,fibroblast of lung,101
457,21m,Lung,intermediate monocyte,19
458,21m,Lung,lung macrophage,21
459,21m,Lung,mature NK T cell,50
460,21m,Lung,myeloid dendritic cell,42
461,21m,Lung,neutrophil,29
462,21m,Lung,non-classical monocyte,194
463,21m,Lung,pericyte cell,1
464,21m,Lung,plasma cell,16
465,21m,Lung,plasmacytoid dendritic cell,10
466,21m,Lung,pulmonary interstitial fibroblast,9
467,21m,Lung,regulatory T cell,20
468,21m,Lung,smooth muscle cell of the pulmonary artery,26
469,21m,Lung,type II pneumocyte,18
470,21m,Lung,vein endothelial cell,107
471,21m,Mammary_Gland,B cell,670
472,21m,Mammary_Gland,T cell,915
473,21m,Mammary_Gland,basal cell,716
474,21m,Mammary_Gland,endothelial cell,223
475,21m,Mammary_Gland,luminal epithelial cell of mammary gland,480
