,age,tissue,cell_ontology_class,ncells
182,3m,Lung,plasmacytoid dendritic cell,15
183,3m,Lung,pulmonary interstitial fibroblast,181
184,3m,Lung,regulatory T cell,12
185,3m,Lung,smooth muscle cell of the pulmonary artery,16
186,3m,Lung,type II pneumocyte,54
187,3m,Lung,vein endothelial cell,28
188,3m,Mammary_Gland,B cell,727
189,3m,Mammary_Gland,T cell,1829
190,3m,Mammary_Gland,basal cell,398
191,3m,Mammary_Gland,endothelial cell,254
192,3m,Mammary_Gland,luminal epithelial cell of mammary gland,475
193,3m,Mammary_Gland,macrophage,165
194,3m,Mammary_Gland,stromal cell,633
195,3m,Marrow,NK cell,26
196,3m,Marrow,basophil,3
197,3m,Marrow,erythroblast,66
198,3m,Marrow,granulocyte,704
199,3m,Marrow,granulocytopoietic cell,727
200,3m,Marrow,hematopoietic precursor cell,285
201,3m,Marrow,immature B cell,21
202,3m,Marrow,late pro-B cell,34
203,3m,Marrow,macrophage,101
204,3m,Marrow,megakaryocyte-erythroid progenitor cell,133
205,3m,Marrow,monocyte,488
206,3m,Marrow,naive B cell,62
207,3m,Marrow,naive T cell,134
208,3m,Marrow,plasma cell,39
209,3m,Marrow,precursor B cell,259
210,3m,Marrow,proerythroblast,177
211,3m,Marrow,promonocyte,231
212,3m,Spleen,B cell,4668
213,3m,Spleen,NK cell,151
214,3m,Spleen,T cell,1487
215,3m,Spleen,erythroblast,13
216,3m,Spleen,granulocyte,5
217,3m,Spleen,immature NKT cell,12
218,3m,Spleen,macrophage,252
219,3m,Spleen,macrophage dendritic cell progenitor,42
220,3m,Spleen,mature NK T cell,338
221,3m,Spleen,megakaryocyte-erythroid progenitor cell,17
222,3m,Spleen,plasma cell,26
223,3m,Spleen,proerythroblast,126
224,3m,Thymus,DN3 thymocyte,33
225,3m,Thymus,DN4 thymocyte,254
226,3m,Thymus,double negative T cell,189
227,3m,Thymus,immature T cell,397
228,3m,Thymus,professional antigen presenting cell,30
229,3m,Thymus,thymocyte,527
230,3m,Tongue,Langerhans cell,38
231,3m,Tongue,basal cell of epidermis,3964
232,3m,Tongue,keratinocyte,3536
233,3m,Trachea,basal epithelial cell of tracheobronchial tree,521
234,3m,Trachea,blood cell,88
235,3m,Trachea,chondrocyte,1630
236,3m,Trachea,endothelial cell,420
237,3m,Trachea,epithelial cell,193
238,3m,Trachea,fibroblast,1652
239,3m,Trachea,granulocyte,385
240,3m,Trachea,macrophage,357
241,3m,Trachea,mesenchymal cell,879
242,3m,Trachea,mesenchymal progenitor cell,1676
243,3m,Trachea,neuroendocrine cell,48
244,3m,Trachea,smooth muscle cell of trachea,127
245,18m,Bladder,bladder cell,539
246,18m,Bladder,bladder urothelial cell,1385
247,18m,Bladder,endothelial cell,40
248,18m,Bladder,leukocyte,83
249,18m,Fat,B cell,334
250,18m,Fat,T cell,338
251,18m,Fat,endothelial cell,636
252,18m,Fat,epithelial cell,90
253,18m,Fat,erythroblast,56
254,18m,Fat,lymphocyte,17
255,18m,Fat,mesenchymal stem cell of adipose,982
256,18m,Fat,myeloid cell,1515
257,18m,Heart_and_Aorta,cardiac neuron,19
258,18m,Heart_and_Aorta,cardiomyocyte,52
259,18m,Heart_and_Aorta,endocardial cell,131
260,18m,Heart_and_Aorta,endothelial cell of coronary artery,295
261,18m,Heart_and_Aorta,erythrocyte,30
262,18m,Heart_and_Aorta,fibroblast of cardiac tissue,417
263,18m,Heart_and_Aorta,leukocyte,140
264,18m,Heart_and_Aorta,mast cell,25
265,18m,Heart_and_Aorta,smooth muscle cell,34
266,18m,Kidney,B cell,51
267,18m,Kidney,NK cell,8
268,18m,Kidney,T cell,65
269,18m,Kidney,brush cell,89
270,18m,Kidney,epithelial cell of proximal tubule,400
271,18m,Kidney,fenestrated cell,190
272,18m,Kidney,fibroblast,36
273,18m,Kidney,kidney capillary endothelial cell,20
274,18m,Kidney,kidney collecting duct principal cell,130
275,18m,Kidney,kidney cortex artery cell,79
276,18m,Kidney,kidney distal convoluted tubule epithelial cell,198
277,18m,Kidney,kidney loop of Henle ascending limb epithelial cell,38
278,18m,Kidney,kidney loop of Henle thick ascending limb epithelial cell,247
