"","class_label","cell_ontology_class","age"
"172","0","Forebrain/Midbrain/Hindbrain","E8.25"
"173","0","Foxp1+ perichondrial","E14"
"174","0","granulocyte","18m"
"175","0","granulocyte","1m"
"176","0","granulocyte","21m"
"177","0","granulocyte","24m"
"178","0","granulocyte","30m"
"179","0","granulocyte","3m"
"180","0","granulocyte monocyte progenitor cell","18m"
"181","0","granulocytopoietic cell","18m"
"182","0","granulocytopoietic cell","1m"
"183","0","granulocytopoietic cell","21m"
"184","0","granulocytopoietic cell","24m"
"185","0","granulocytopoietic cell","30m"
"186","0","granulocytopoietic cell","3m"
"187","0","Gut","E7.75"
"188","0","Gut","E8.0"
"189","0","Gut","E8.25"
"190","0","Haematoendothelial progenitors","E7.0"
"191","0","Haematoendothelial progenitors","E7.25"
"192","0","Haematoendothelial progenitors","E7.75"
"193","0","Haematoendothelial progenitors","E8.0"
"194","0","Haematoendothelial progenitors","E8.25"
"195","0","haematopoeitic/endothelial progenitor","E7.0"
"196","0","haematopoeitic/endothelial progenitor","E7.5"
"197","0","haematopoeitic/endothelial progenitor","E8.0"
"198","0","haematopoeitic/endothelial progenitor","E8.5"
"199","0","HC","E9.5-11.5"
"200","0","hematopoietic precursor cell","18m"
"201","0","hematopoietic precursor cell","1m"
"202","0","hematopoietic precursor cell","21m"
"203","0","hematopoietic precursor cell","24m"
"204","0","hematopoietic precursor cell","30m"
"205","0","hematopoietic precursor cell","3m"
"206","0","hematopoietic stem cell","30m"
"207","0","hematopoietic stem cell","18m"
"208","0","hematopoietic stem cell","24m"
"209","0","hepatocyte","1m"
"210","0","hepatocyte","18m"
"211","0","hepatocyte","24m"
"212","0","hepatocyte","3m"
"213","0","immature B cell","18m"
"214","0","immature B cell","1m"
"215","0","immature B cell","24m"
"216","0","immature B cell","30m"
"217","0","immature B cell","3m"
"218","0","immature T cell","18m"
"219","0","immature T cell","21m"
"220","0","immature T cell","3m"
"221","0","Intermediate mesoderm","E7.75"
"222","0","Intermediate mesoderm","E8.0"
"223","0","Intermediate mesoderm","E8.25"
"224","0","intermediate monocyte","18m"
"225","0","intermediate monocyte","1m"
"226","0","intermediate monocyte","30m"
"227","0","intestinal crypt stem cell","18m"
"228","0","intestinal crypt stem cell","24m"
"229","0","keratinocyte","18m"
"230","0","keratinocyte","1m"
"231","0","keratinocyte","24m"
"232","0","keratinocyte","3m"
"233","0","kidney collecting duct epithelial cell","18m"
"234","0","kidney collecting duct principal cell","18m"
"235","0","kidney collecting duct principal cell","24m"
"236","0","Kupffer cell","1m"
"237","0","Kupffer cell","30m"
"238","0","Kupffer cell","18m"
"239","0","Langerhans cell","24m"
"240","0","Langerhans cell","3m"
"241","0","large intestine goblet cell","18m"
"242","0","large intestine goblet cell","24m"
"243","0","large intestine goblet cell","3m"
"244","0","late pro-B cell","18m"
"245","0","late pro-B cell","21m"
"246","0","late pro-B cell","24m"
"247","0","late pro-B cell","30m"
"248","0","late pro-B cell","3m"
"249","0","leukocyte","18m"
"250","0","leukocyte","1m"
"251","0","leukocyte","24m"
"252","0","leukocyte","3m"
"253","0","leukocyte","21m"
"254","0","leukocyte","30m"
"255","0","luminal epithelial cell of mammary gland","18m"
"256","0","luminal epithelial cell of mammary gland","21m"
"257","0","luminal epithelial cell of mammary gland","3m"
"258","0","lung endothelial cell","3m"
"259","0","lung macrophage","30m"
"260","0","lymphocyte","30m"
"261","0","lymphocyte","18m"
"262","0","lymphocyte","21m"
"263","0","lymphocyte","24m"
"264","0","lymphocyte","3m"
"265","0","macrophage","18m"
"266","0","macrophage","1m"
"267","0","macrophage","21m"
"268","0","macrophage","24m"
"269","0","macrophage","30m"
"270","0","macrophage","3m"
"271","0","Macrophage","E11"
"272","0","Macrophage","E13"
"273","0","Macrophage","E13.5"
"274","0","Macrophage","E14"
"275","0","Macrophage","E15"
"276","0","macrophage dendritic cell progenitor","30m"
"277","0","macrophage dendritic cell progenitor","3m"
"278","0","mast cell","30m"
"279","0","mature alpha-beta T cell","18m"
"280","0","mature alpha-beta T cell","24m"
"281","0","mature NK T cell","18m"
"282","0","mature NK T cell","21m"
"283","0","mature NK T cell","30m"
"284","0","mature NK T cell","1m"
"285","0","mature NK T cell","24m"
"286","0","mature NK T cell","3m"
"287","0","MC","E9.5-11.5"
"288","0","megakaryocyte-erythroid progenitor cell","18m"
"289","0","megakaryocyte-erythroid progenitor cell","1m"
"290","0","megakaryocyte-erythroid progenitor cell","21m"
"291","0","megakaryocyte-erythroid progenitor cell","24m"
"292","0","megakaryocyte-erythroid progenitor cell","30m"
"293","0","megakaryocyte-erythroid progenitor cell","3m"
"294","0","Mesenchymal 1","E11"
"295","0","Mesenchymal 2","E11"
"296","0","Mesenchymal cell","3m"
"297","0","mesenchymal stem cell","21m"
"298","0","mesenchymal stem cell","24m"
"299","0","mesenchymal stem cell","3m"
"300","0","mesenchymal stem cell","18m"
"301","0","mesenchymal stem cell of adipose","18m"
"302","0","mesenchymal stem cell of adipose","24m"
"303","0","mesenchymal stem cell of adipose","3m"
"304","0","Mesenchyme","E7.75"
"305","0","Mesenchyme","E8.0"
"306","0","Mesenchyme","E8.25"
"307","0","Mesenchyme","E8.5"
"308","0","microglial cell","18m"
"309","0","microglial cell","24m"
"310","0","microglial cell","3m"
"311","0","monocyte","18m"
"312","0","monocyte","1m"
"313","0","monocyte","21m"
"314","0","monocyte","24m"
"315","0","monocyte","30m"
"316","0","monocyte","3m"
"317","0","Muscle 1","E11"
"318","0","Muscle 1","E12"
"319","0","Muscle 2","E14"
"320","0","Muscle 2","E15"
"321","0","Muscle 3","E12"
"322","0","Muscle 3","E13"
"323","0","Muscle 3","E13.5"
"324","0","Muscle 3","E14"
"325","0","Muscle 3","E15"
"326","0","Muscle 4","E13"
"327","0","Muscle 4","E13.5"
"328","0","Muscle 4","E14"
"329","0","Muscle 4","E15"
"330","0","myeloid cell","18m"
"331","0","myeloid cell","21m"
"332","0","myeloid cell","30m"
"333","0","myeloid cell","24m"
"334","0","myeloid cell","3m"
"335","0","myeloid dendritic cell","18m"
"336","0","myeloid dendritic cell","1m"
"337","0","myeloid dendritic cell","21m"
"338","0","myeloid dendritic cell","30m"
"339","0","myeloid dendritic cell","3m"
"340","0","myeloid dendritic cell","24m"
"341","0","myeloid leukocyte","18m"
"342","0","myeloid leukocyte","1m"
"343","0","myeloid leukocyte","30m"
"344","0","myofibroblast cell","3m"
"345","0","naive B cell","18m"
"346","0","naive B cell","1m"
"347","0","naive B cell","21m"
"348","0","naive B cell","24m"
"349","0","naive B cell","30m"
"350","0","naive B cell","3m"
"351","0","naive T cell","18m"
"352","0","naive T cell","1m"
"353","0","naive T cell","21m"
"354","0","naive T cell","24m"
"355","0","naive T cell","30m"
"356","0","naive T cell","3m"
"357","0","Nascent mesoderm","E6.75"
"358","0","Nascent mesoderm","E7.0"
"359","0","Nascent mesoderm","E7.25"
"360","0","natural killer cell","3m"
"361","0","NC","E9.5-11.5"
"362","0","Neural crest","E8.5"
"363","0","neuroepithelial cell","18m"
"364","0","neuron","3m"
"365","0","neutrophil","18m"
"366","0","neutrophil","1m"
"367","0","NK cell","24m"
"368","0","NK cell","18m"
"369","0","NK cell","1m"
"370","0","NK cell","21m"
"371","0","NK cell","30m"
"372","0","NK cell","3m"
"373","0","NMP","E8.25"
"374","0","NMP","E8.5"
"375","0","NMPs early","E8.0"
"376","0","NMPs late","E8.5"
"377","0","node","E7.5"
"378","0","non-classical monocyte","18m"
"379","0","non-classical monocyte","1m"
"380","0","non-classical monocyte","21m"
"381","0","non-classical monocyte","30m"
"382","0","non-classical monocyte","3m"
"383","0","Notochord","E7.75"
"384","0","Notochord","E8.0"
"385","0","oligodendrocyte","18m"
"386","0","oligodendrocyte","24m"
"387","0","oligodendrocyte","3m"
"388","0","oligodendrocyte precursor cell","18m"
"389","0","oligodendrocyte precursor cell","3m"
"390","0","pancreatic A cell","18m"
"391","0","pancreatic A cell","21m"
"392","0","pancreatic A cell","30m"
"393","0","pancreatic A cell","24m"
"394","0","pancreatic A cell","3m"
"395","0","pancreatic acinar cell","21m"
"396","0","pancreatic acinar cell","30m"
"397","0","pancreatic acinar cell","18m"
"398","0","pancreatic acinar cell","24m"
"399","0","pancreatic acinar cell","3m"
"400","0","pancreatic B cell","18m"
"401","0","pancreatic B cell","24m"
"402","0","pancreatic D cell","3m"
"403","0","pancreatic ductal cell","18m"
"404","0","pancreatic ductal cell","24m"
"405","0","pancreatic ductal cell","3m"
"406","0","pancreatic PP cell","18m"
"407","0","Paraxial mesoderm","E7.75"
"408","0","Paraxial mesoderm","E8.0"
"409","0","Paraxial mesoderm","E8.25"
"410","0","Paraxial mesoderm","E8.5"
"411","0","parietal endoderm","E6.5"
"412","0","parietal endoderm","E7.0"
"413","0","parietal endoderm","E7.5"
"414","0","parietal endoderm","E8.0"
"415","0","parietal endoderm","E8.5"
"416","0","Parietal endoderm","E6.5"
"417","0","Parietal endoderm","E7.0"
"418","0","Parietal endoderm","E7.25"
"419","0","Parietal endoderm","E8.0"
"420","0","Pharyngeal mesoderm","E8.0"
"421","0","Pharyngeal mesoderm","E8.25"
"422","0","plasma cell","24m"
"423","0","plasma cell","30m"
"424","0","plasma cell","3m"
"425","0","plasma cell","18m"
"426","0","plasma cell","21m"
"427","0","posterior lateral plate mesoderm","E8.0"
"428","0","posterior lateral plate mesoderm","E8.5"
"429","0","precursor B cell","18m"
"430","0","precursor B cell","1m"
"431","0","precursor B cell","21m"
"432","0","precursor B cell","24m"
"433","0","precursor B cell","30m"
"434","0","precursor B cell","3m"
"435","0","preplacodal ectoderm","E8.0"
"436","0","presomitic mesoderm","E8.0"
"437","0","primitive blood early","E8.0"
"438","0","primitive blood late","E8.5"
"439","0","primitive blood progenitor","E7.5"
"440","0","primitive blood progenitor","E8.0"
"441","0","primitive blood progenitor","E8.5"
"442","0","primitive heart tube","E8.0"
"443","0","primitive heart tube","E8.5"
"444","0","Primitive Streak","E6.5"
"445","0","Primitive Streak","E6.75"
"446","0","Primitive Streak","E7.0"
"447","0","Primitive Streak","E7.25"
"448","0","primitive streak early","E7.0"
"449","0","primitive streak late","E7.5"
"450","0","primordial germ cells (PGCs)","E7.0"
"451","0","primordial germ cells (PGCs)","E7.5"
"452","0","proerythroblast","18m"
"453","0","proerythroblast","1m"
"454","0","proerythroblast","21m"
"455","0","proerythroblast","24m"
"456","0","proerythroblast","30m"
"457","0","proerythroblast","3m"
"458","0","professional antigen presenting cell","18m"
"459","0","professional antigen presenting cell","21m"
"460","0","professional antigen presenting cell","24m"
"461","0","promonocyte","18m"
"462","0","promonocyte","1m"
"463","0","promonocyte","21m"
"464","0","promonocyte","24m"
"465","0","promonocyte","30m"
"466","0","promonocyte","3m"
"467","0","regulatory T cell","30m"
"468","0","respiratory basal cell","18m"
"469","0","Rostral neurectoderm","E7.75"
"470","0","Rostral neurectoderm","E8.0"
"471","0","similar to neural crest","E8.5"
"472","0","skeletal muscle cell","24m"
"473","0","skeletal muscle cell","30m"
"474","0","skeletal muscle satellite cell","18m"
"475","0","skeletal muscle satellite cell","1m"
"476","0","skeletal muscle satellite cell","21m"
"477","0","skeletal muscle satellite cell","24m"
"478","0","skeletal muscle satellite cell","30m"
"479","0","skeletal muscle satellite cell","3m"
"480","0","Slamf1-negative multipotent progenitor cell","3m"
"481","0","Smooth muscle","E15"
"482","0","Somitic mesoderm","E8.25"
"483","0","Somitic mesoderm","E8.5"
"484","0","stromal cell","21m"
"485","0","stromal cell","3m"
"486","0","surface ectoderm","E8.0"
"487","0","surface ectoderm","E8.5"
"488","0","Surface ectoderm","E8.0"
"489","0","Surface ectoderm","E8.25"
"490","0","Surface ectoderm","E8.5"
"491","0","T cell","18m"
"492","0","T cell","21m"
"493","0","T cell","30m"
"494","0","T cell","24m"
"495","0","T cell","1m"
"496","0","T cell","3m"
"497","0","thymocyte","18m"
"498","0","thymocyte","21m"
"499","0","thymocyte","3m"
"500","0","thymocyte","24m"
"501","0","type B pancreatic cell","3m"
"502","0","type II pneumocyte","24m"
"503","0","valve cell","18m"
"504","0","valve cell","24m"
"505","0","ventricular myocyte","24m"
"506","0","Visceral endoderm","E6.75"
"507","0","Visceral endoderm","E7.25"
"508","0","visceral endoderm early","E7.0"
"509","0","visceral endoderm early","E7.5"
"510","0","visceral endoderm late","E8.0"
"511","0","visceral endoderm late","E8.5"
"512","1","allantois","E7.5"
"513","1","allantois","E8.0"
"514","1","bulge keratinocyte","24m"
"515","1","ectoderm early 1","E7.0"
"516","1","ectoderm early 2","E7.5"
"517","1","epiblast","E6.5"
"518","1","Foxp1+ perichondrial","E13.5"
"519","1","gut","E8.5"
"520","1","neural crest","E8.5"
"521","1","neural ectoderm anterior","E8.0"
"522","1","notochord","E8.0"
"523","1","notochord","E8.5"
"524","1","pharyngeal arch mesoderm","E8.5"
"525","1","preplacodal ectoderm","E8.0"
"526","1","preplacodal ectoderm","E8.5"
"527","1","primitive streak early","E7.0"
"528","1","primitive streak early","E7.5"
"529","1","secondary heart field/splanchnic lateral plate","E8.0"
"530","1","secondary heart field/splanchnic lateral plate","E8.5"
"531","1","similar to neural crest","E8.5"
"532","1","somites","E8.0"
"533","1","somites","E8.5"
"534","1","splanchnic-lateral/anterior-paraxial mesoderm","E7.5"
"535","1","splanchnic-lateral/anterior-paraxial mesoderm","E8.0"
"536","1","streak pre-specified/anterior","E7.0"
"537","10","EC","E9.5-11.5"
"538","10","Epithelial 2","E13"
"539","10","fore/midbrain","E8.0"
"540","10","fore/midbrain","E8.5"
"541","10","future spinal cord","E8.0"
"542","10","keratinocyte stem cell","21m"
"543","10","keratinocyte stem cell","3m"
"544","10","MC","E9.5-11.5"
"545","10","neural crest","E8.0"
"546","10","Neural crest","E13"
"547","10","Neural crest","E13.5"
"548","10","Neural crest","E14"
"549","10","Neural crest","E15"
"550","10","neural ectoderm anterior","E8.0"
"551","10","preplacodal ectoderm","E8.5"
"552","11","astrocyte","3m"
"553","11","fore/midbrain","E8.5"
"554","11","Forebrain/Midbrain/Hindbrain","E8.5"
"555","11","future spinal cord","E8.5"
"556","12","angioblasts","E8.5"
"557","12","endothelial cell","18m"
"558","12","endothelial cell","21m"
"559","12","endothelial cell","30m"
"560","12","endothelial cell of hepatic sinusoid","1m"
"561","12","endothelial cell of hepatic sinusoid","30m"
"562","12","erythrocyte","30m"
"563","12","fenestrated cell","18m"
"564","12","fenestrated cell","1m"
"565","12","fenestrated cell","21m"
"566","12","fenestrated cell","30m"
"567","12","fenestrated cell","3m"
"568","12","kidney capillary endothelial cell","1m"
"569","12","kidney capillary endothelial cell","3m"
"570","12","lung endothelial cell","3m"
"571","13","EPI","E5.5"
"572","13","exVE","E5.5"
"573","13","smooth muscle cell","18m"
"574","13","smooth muscle cell","21m"
"575","14","basal cell","21m"
"576","14","basal cell","3m"
"577","14","brush cell","18m"
"578","14","brush cell","30m"
"579","14","epithelial cell","21m"
"580","14","ExE","E5.5"
"581","14","kidney collecting duct principal cell","18m"
"582","14","kidney collecting duct principal cell","1m"
"583","14","kidney collecting duct principal cell","21m"
"584","14","kidney collecting duct principal cell","30m"
"585","14","kidney collecting duct principal cell","3m"
"586","14","kidney mesangial cell","18m"
"587","14","podocyte","18m"
"588","14","podocyte","1m"
"589","14","podocyte","21m"
"590","14","podocyte","30m"
"591","14","podocyte","3m"
"592","14","thymocyte","18m"
"593","15","bladder cell","18m"
"594","15","bladder cell","1m"
"595","15","bladder cell","24m"
"596","15","bladder cell","3m"
"597","15","fibroblast of lung","21m"
"598","15","fibroblast of lung","3m"
"599","15","keratinocyte stem cell","3m"
"600","15","pericyte cell","3m"
"601","15","Schwann cell","18m"
"602","15","Schwann cell","1m"
"603","15","Schwann cell","24m"
"604","16","bladder urothelial cell","1m"
"605","16","ciliated columnar cell of tracheobronchial tree","3m"
"606","16","epithelial cell","3m"
"607","17","bronchial smooth muscle cell","18m"
"608","17","bronchial smooth muscle cell","1m"
"609","17","bronchial smooth muscle cell","21m"
"610","17","bronchial smooth muscle cell","30m"
"611","17","bronchial smooth muscle cell","3m"
"612","17","endocardial cell","1m"
"613","17","endothelial cell","1m"
"614","17","endothelial cell of coronary artery","18m"
"615","17","endothelial cell of coronary artery","1m"
"616","17","endothelial cell of coronary artery","21m"
"617","17","endothelial cell of coronary artery","24m"
"618","17","endothelial cell of coronary artery","30m"
"619","17","endothelial cell of coronary artery","3m"
"620","17","kidney cortex artery cell","18m"
"621","17","kidney cortex artery cell","1m"
"622","17","kidney cortex artery cell","21m"
"623","17","kidney cortex artery cell","30m"
"624","17","kidney cortex artery cell","3m"
"625","17","smooth muscle cell of the pulmonary artery","18m"
"626","17","vein endothelial cell","18m"
"627","17","vein endothelial cell","21m"
"628","17","vein endothelial cell","30m"
"629","18","endothelial cell","24m"
"630","18","endothelial cell","18m"
"631","18","endothelial cell","1m"
"632","18","endothelial cell","21m"
"633","18","endothelial cell","30m"
"634","18","endothelial cell","3m"
"635","19","basal epithelial cell of tracheobronchial tree","24m"
"636","19","endothelial cell","3m"
"637","19","epithelial cell of large intestine","3m"
"638","19","kidney collecting duct epithelial cell","3m"
"639","19","kidney distal convoluted tubule epithelial cell","18m"
"640","19","kidney distal convoluted tubule epithelial cell","1m"
"641","19","kidney distal convoluted tubule epithelial cell","21m"
"642","19","kidney distal convoluted tubule epithelial cell","30m"
"643","19","kidney distal convoluted tubule epithelial cell","3m"
"644","19","kidney loop of Henle ascending limb epithelial cell","18m"
"645","19","kidney loop of Henle ascending limb epithelial cell","1m"
"646","19","kidney loop of Henle ascending limb epithelial cell","30m"
"647","19","kidney loop of Henle ascending limb epithelial cell","3m"
"648","19","kidney loop of Henle thick ascending limb epithelial cell","18m"
"649","19","kidney loop of Henle thick ascending limb epithelial cell","1m"
"650","19","kidney loop of Henle thick ascending limb epithelial cell","21m"
"651","19","kidney loop of Henle thick ascending limb epithelial cell","30m"
"652","19","kidney loop of Henle thick ascending limb epithelial cell","3m"
"653","2","exVE","E5.5"
"654","2","Kupffer cell","18m"
"655","2","primitive and definitive endoderm","E6.5"
"656","2","primitive and definitive endoderm","E7.0"
"657","2","visceral endoderm early","E6.5"
"658","2","visceral endoderm early","E7.5"
"659","2","visceral endoderm early","E8.0"
"660","2","visceral endoderm late","E8.5"
"661","20","basal cell of epidermis","1m"
"662","20","endocardial cell","18m"
"663","20","endocardial cell","21m"
"664","20","endocardial cell","24m"
"665","20","endocardial cell","30m"
"666","20","endocardial cell","3m"
"667","20","epithelial cell","18m"
"668","21","adventitial cell","18m"
"669","21","adventitial cell","21m"
"670","21","adventitial cell","3m"
"671","21","fibroblast","18m"
"672","21","fibroblast","30m"
"673","21","mesenchymal progenitor cell","3m"
"674","21","mesenchymal stem cell of adipose","18m"
"675","21","mesenchymal stem cell of adipose","21m"
"676","21","mesenchymal stem cell of adipose","30m"
"677","21","stromal cell","18m"
"678","22","fibroblast of cardiac tissue","18m"
"679","22","fibroblast of cardiac tissue","1m"
"680","22","fibroblast of cardiac tissue","21m"
"681","22","fibroblast of cardiac tissue","24m"
"682","22","fibroblast of cardiac tissue","30m"
"683","22","fibroblast of cardiac tissue","3m"
"684","22","fibroblast of lung","18m"
"685","22","fibroblast of lung","1m"
"686","22","pulmonary interstitial fibroblast","3m"
"687","23","kidney mesangial cell","1m"
"688","23","kidney mesangial cell","21m"
"689","23","kidney mesangial cell","3m"
"690","23","smooth muscle cell","18m"
"691","23","smooth muscle cell","1m"
"692","23","smooth muscle cell","24m"
"693","23","smooth muscle cell","30m"
"694","24","brush cell","1m"
"695","24","brush cell","21m"
"696","24","epithelial cell of proximal tubule","18m"
"697","24","epithelial cell of proximal tubule","1m"
"698","24","epithelial cell of proximal tubule","30m"
"699","24","kidney proximal convoluted tubule epithelial cell","18m"
"700","24","kidney proximal convoluted tubule epithelial cell","1m"
"701","24","kidney proximal convoluted tubule epithelial cell","21m"
"702","24","kidney proximal convoluted tubule epithelial cell","30m"
"703","24","kidney proximal convoluted tubule epithelial cell","3m"
"704","24","kidney proximal straight tubule epithelial cell","3m"
"705","25","neuron","24m"
"706","25","neuron","3m"
"707","25","Schwann cell","30m"
"708","26","basal cell of epidermis","18m"
"709","26","basal cell of epidermis","21m"
"710","26","Endothelial","E13"
"711","26","Endothelial","E13.5"
"712","26","Endothelial","E15"
"713","26","epidermal cell","21m"
"714","26","Epithelial 1","E13"
"715","26","Epithelial 1","E13.5"
"716","26","Epithelial 1","E14"
"717","26","Epithelial 1","E15"
"718","26","Epithelial 2","E13.5"
"719","26","luminal epithelial cell of mammary gland","3m"
"720","26","stem cell of epidermis","21m"
"721","27","pancreatic B cell","18m"
"722","27","pancreatic B cell","21m"
"723","27","pancreatic B cell","30m"
"724","27","pancreatic D cell","18m"
"725","27","pancreatic D cell","21m"
"726","27","pancreatic D cell","30m"
"727","28","basal epithelial cell of tracheobronchial tree","3m"
"728","28","Osteoblast","E15"
"729","28","pancreatic ductal cel","18m"
"730","28","pancreatic ductal cel","30m"
"731","28","smooth muscle cell of trachea","3m"
"732","29","chondrocyte","3m"
"733","29","fibroblast","3m"
"734","29","Ihh+ chondrocyte","E13"
"735","29","Ihh+ chondrocyte","E13.5"
"736","29","Ihh+ chondrocyte","E14"
"737","29","Ihh+ chondrocyte","E15"
